Price,Close,High,Low,Open,Volume
Ticker,UNH,UNH,UNH,UNH,UNH
Date,,,,,
2020-09-18,288.62908935546875,290.8499138639754,284.646641223811,285.80859847718335,3795400
2020-09-21,280.35498046875,281.61061950772853,273.2990205654343,281.55439899825143,4124700
2020-09-22,275.7353515625,281.69495442611105,274.4797125050045,279.65219962793446,3163600
2020-09-23,273.748779296875,277.4594754442625,273.45826857207084,276.428718570991,3709900
2020-09-24,274.2359924316406,276.36307738408925,271.40612270590543,273.7955794965256,2869100
2020-09-25,283.4566345214844,284.17815020556355,272.8867485995474,272.9148588574622,2455800
2020-09-28,284.1406555175781,290.49383042692,283.76581399425714,287.10172625417545,2575700
2020-09-29,285.002685546875,286.267704033568,281.75113306751535,284.5529215312612,1797800
2020-09-30,292.1429748535156,294.7198527094915,284.85275428119223,284.8808645321291,3497300
2020-10-01,293.3611755371094,295.32897904670733,289.68794041276715,293.2112446548514,2731200
2020-10-02,292.33984375,297.4092698977454,288.9477106287381,292.45228478011103,2338000
2020-10-05,298.12139892578125,298.37441983396246,293.40805521543416,295.2353077008504,1638600
2020-10-06,294.654296875,300.1359962742528,293.75471160434864,298.87100631835824,2434400
2020-10-07,302.82537841796875,304.2965199249907,295.9380798222121,295.9380798222121,2596600
2020-10-08,302.1132507324219,304.86817050738443,300.7826317446,303.0690281373771,2056700
2020-10-09,307.2013244628906,307.5105658252255,303.5281181569988,304.22152342368054,2028900
2020-10-12,309.197265625,312.56125946435844,308.29770890216025,308.40077030118476,2424200
2020-10-13,310.5559997558594,312.6924648806521,307.0795362468574,307.81981107500195,2713500
2020-10-14,301.58843994140625,309.75948705828336,300.04231884239493,301.7945913277005,4455400
2020-10-15,304.1371765136719,306.3860822993431,296.4158942344695,298.77726961635454,3172200
2020-10-16,309.1317443847656,311.4275205634132,304.2872282737483,304.97125415991525,3293300
2020-10-19,303.8092346191406,309.9562577203562,301.7852106326831,307.8572825920557,2482100
2020-10-20,303.05029296875,307.93229853118675,302.92847231577827,306.05820503044663,1988600
2020-10-21,302.46929931640625,305.9363547997443,301.89768598381704,303.05026367004484,2139000
2020-10-22,305.2242126464844,307.4075187374497,301.96328004132846,302.0288801693285,2100600
2020-10-23,309.78765869140625,314.5197333009697,307.4731520943103,308.43830909492294,2349500
2020-10-26,302.7223205566406,307.1170720987943,298.4868795442909,305.77710211036214,2408500
2020-10-27,300.3327941894531,303.1345541792447,299.3207679173179,302.72225141598824,2427700
2020-10-28,288.6103820800781,297.802807870956,288.08563821855324,293.60482838236146,3301400
2020-10-29,284.5622863769531,289.9971734662699,282.4820419144957,287.28909523966024,3279200
2020-10-30,285.930419921875,287.83262342040337,280.73917362975783,284.14065744254737,3556800
2020-11-02,292.4522399902344,292.95825314463303,288.0106198063209,292.95825314463303,4519000
2020-11-03,301.1199645996094,305.88952890011245,295.188442938475,297.48421880602615,4043900
2020-11-04,332.23931884765625,337.74915873523037,319.66416651316126,323.49668458273175,10344900
2020-11-05,332.08929443359375,338.2550767991698,327.6664335360091,335.5282678838419,4786500
2020-11-06,325.586181640625,329.84038092430865,322.8781320196367,328.3036108778255,2994900
2020-11-09,327.9663391113281,344.7863385128815,327.01056178919174,343.24956822620436,4635300
2020-11-10,331.42401123046875,333.4948761906634,326.2515243401662,327.4884041076697,3733200
2020-11-11,329.55926513671875,334.34755902033965,327.41342064702053,333.7384845152679,2048200
2020-11-12,332.09869384765625,337.824034932037,327.7320531955282,329.27817438910904,2907300
2020-11-13,333.2794189453125,335.4065047015665,330.58071982065763,334.3944782316227,2442100
2020-11-16,334.3569641113281,336.94319320007065,328.91272582504695,336.35287788169126,2790100
2020-11-17,329.93408203125,331.1147411888092,325.62366236413027,330.20583352625533,2557600
2020-11-18,322.8219299316406,331.7613338124966,321.49131119118107,331.1803695020116,2722500
2020-11-19,315.7847595214844,321.4726402430632,313.2828320787656,320.74174491087535,3935600
2020-11-20,313.6295166015625,316.4031666025869,310.82772774927037,313.91061915030383,3702000
2020-11-23,313.9667663574219,315.09123348264217,310.71521418629186,314.42590994529985,2535700
2020-11-24,314.8570556640625,318.5958626662704,313.37650593533834,315.01633758141475,3759700
2020-11-25,312.214599609375,317.49017722997075,308.419571823609,317.49017722997075,3145100
2020-11-27,316.6654968261719,317.5650534601158,310.94950745096503,312.5331183253188,1558600
2020-11-30,315.16632080078125,316.6656014168077,309.4971990360178,314.01374292920354,5265700
2020-12-01,319.7109375,331.8082127554502,318.530249611889,323.06555180600685,3817700
2020-12-02,325.679931640625,329.6811105445477,320.001431224902,320.2544235258976,2864300
2020-12-03,326.72943115234375,330.56194866113225,324.677296625175,325.99853588214637,4169200
2020-12-04,329.0428771972656,330.5287250520371,325.14953279036837,325.38463729708593,3255100
2020-12-07,327.1337890625,329.0428651383914,324.65110048617504,327.94256345959406,2999400
2020-12-08,327.1337890625,329.05224980280536,323.57901019917864,324.2091028817733,2471200
2020-12-09,323.8893127441406,328.59140195903313,321.2561255642358,328.1023950124233,2600400
2020-12-10,319.4129638671875,324.87679008123166,319.0462157755125,324.5946761645586,2896900
2020-12-11,316.9866638183594,318.68881789659554,314.4098992944269,317.98350448188074,3071700
2020-12-14,316.10272216796875,322.77969602965345,315.8487909281903,319.7703468048915,2479000
2020-12-15,319.4317932128906,320.691949883159,316.95848929242493,318.933372823163,2616500
2020-12-16,319.1214904785156,321.3032674668331,314.3441789206466,316.76103174637046,2365600
2020-12-17,321.3125915527344,322.1871732983857,317.21235464850594,319.56339936215545,2525700
2020-12-18,318.2186279296875,322.1965774583577,314.09959275024,322.11194328745813,8742700
2020-12-21,316.0556640625,316.87385181759896,309.7736788047355,312.2846074546833,2892700
2020-12-22,315.0494079589844,316.9020323587604,313.60115636593844,315.1904649032767,2069700
2020-12-23,317.4756774902344,321.29377189322474,316.00862785259653,316.4412120536239,2348100
2020-12-24,320.48504638671875,321.0681009332407,316.3942224983654,316.3942224983654,1360600
2020-12-28,325.3376159667969,327.06798162898605,322.61979419297046,322.7608511519816,2308200
2020-12-29,326.6541442871094,330.3593928933326,324.4441566109191,327.25599678444576,2275700
2020-12-30,324.4347229003906,328.21522076871776,323.9457159832703,326.4001926297753,1866000
2020-12-31,329.7857666015625,330.1713414129068,323.5507908729303,324.48182417809,1969000
2021-01-04,328.67608642578125,331.10235220433157,320.0994789770275,330.5099129799716,4203800
2021-01-05,324.256103515625,330.42524308270305,323.95519157766125,327.9143431826125,3160500
2021-01-06,337.8638916015625,338.07078466487656,315.14339418178594,317.02422977581443,6561400
2021-01-07,343.28070068359375,344.61610655731073,336.5943440512717,337.1773984823055,3366700
2021-01-08,341.738525390625,345.59421639587003,337.3843852727836,345.1334207399599,2947800
2021-01-11,339.25579833984375,342.58488614313507,337.7887485348571,341.01437543304695,2695100
